empresa,titulo,localizacao,link,data_busca
Meta,"Software Engineer, Infrastructure",Remote/Global,https://www.metacareers.com/jobs/1408007706638053/,2025-06-15 22:10
Meta,"Software Engineer, Machine Learning",Remote/Global,https://www.metacareers.com/jobs/774198984091403/,2025-06-15 22:11
Meta,"Research Scientist, Systems and Infrastructure (PhD)",Remote/Global,https://www.metacareers.com/jobs/912427707598266/,2025-06-15 22:12
Meta,"Data Scientist, Product Analytics",Remote/Global,https://www.metacareers.com/jobs/572429542041302/,2025-06-15 22:13
Meta,Software Engineer - ML Systems (Technical Leadership),Remote/Global,https://www.metacareers.com/jobs/596583419835692/,2025-06-15 22:14
Meta,"Software Engineer, Product",Remote/Global,https://www.metacareers.com/jobs/5871246029642592/,2025-06-15 22:15
Meta,"Manager, Operations Engineering and Inventory",Remote/Global,https://www.metacareers.com/jobs/1229517074776776/,2025-06-15 22:17
Meta,"Software Engineer, Infrastructure",Remote/Global,https://www.metacareers.com/jobs/804955741151464/,2025-06-15 22:19
Meta,"Software Engineer, Systems",Remote/Global,https://www.metacareers.com/jobs/709634438088553/,2025-06-15 22:20
Meta,"Software Engineer, Systems",Remote/Global,https://www.metacareers.com/jobs/4036863613261945/,2025-06-15 22:21
Meta,"Software Engineer, Machine Learning",Remote/Global,https://www.metacareers.com/jobs/1155057812882017/,2025-06-15 22:23
Amazon,"Data Center Regional Engineer - Mechanical, Colo Regional Engineering, Colo Regional Engineering",Remote/Global,https://www.amazon.jobs/en/jobs/2984211/data-center-regional-engineer-mechanical-colo-regional-engineering-colo-regional-engineering,2025-06-15 22:37
Amazon,Job Categories,Remote/Global,https://www.amazon.jobs/en/job_categories,2025-06-15 22:38
